Duplicate,Name,Type,Full Description (Small paragraph),Description,Website,Industry (Practice Area),L1 (Auto-generated Feed Name),Top Feed Name (Cluster),Score (Tracxn),Archive Challenge (Narrative),Secondary Narrative,Challenge (Tier 1) ,Solution Space (Tier 2) ,Archive Solution Space (Cluster),Founded,Headcount (High Potential),Country,Funded,Funding Stage,Total Funding (USD),Maturity,Latest Funding Date,Year Founded Score,Year Founded Weighting,Headcount Score,Headcount Weighting,Funding Stage Score,Funding Stage Weighting,TRL Score,TRL Weighting,Total Score,Result,Owner,Relevance,Post it,Wild Card (Highly Innovative),Potential Hero?,Hero,Inc. Compass,Diaa Add. Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ClimateClock,Social Movement ,,"The Climate Clock melds art, science, technology, and grassroots organizing to get the world to #ActInTime.",https://climateclock.world/,,,,,(6) Social Movement,,,,Partnership with established movements,2020,1-25,United States,No,Unfunded,,Nascent,,0.2,0.3,0.2,0,0,0.7,,0,0.06,Nascent,Louise,,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Cenergist,Startup,"Cenergist is operating as an energy and water efficiency company, specialized in LED lighting, water efficiency and heating and boiler management. Services offered include advisory services like asset survey & strategies, full turn-key delivery solution, implementation of legislative requirements & updates; obtaining funding for our clients; monitoring and others services. Products portfolio offered includes showersmart, boiler management unit, and HL2024 inline flow regulator, and LED lights. Project portfolio includes water solution projects for Hackney Homes, Best Western Hotel, & German Housing Association; Consultancy & delivery projects for Wythenshawe, Tribe Apartments, Sharston Energy Works, Maritime Apartments, & London Borough of Hackney; and energy reduction projects for Bupa Care Home, Hornsey Housing Trust, & many others. Clientele included United utility, Hetiowatt University, Best Western, BUPA, and many others.",Turnkey solutions for energy and water efficiency,cenergist.com,,,,55.41,(1) Solving for Complexity,,,,,2012,,United Kingdom,Yes,Seed,"$584,218",Emerging,5/5/2022,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,UrbanVolt,Startup,"UrbanVolt provides solutions for lighting as a service. It provides LED upgrade solutions that include capital investment, complete project management, and maintenance.",Offers solar/lighting as a service solutions,urbanvolt.com,"Energy Tech
 Environment Tech
 Sustainability Tech",Energy Efficiency Tech,Energy Efficiency Tech,50.53,(5) Micro@Scale,,Scale Local,Energy As-a-Service,Micro Energy-as-a-Service,2014,,Ireland,Yes,Series D,"$52,210,910",Mature,5/17/2022,1,0.3,,0,0.7,0.7,,0,0.79,Mature,Louise,,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,WeNow,Startup,"WeNow is a provider of connected driving solutions aimed at increasing the energy efficiency of vehicles while also reducing their carbon emissions. The solution provided uses smart data to control the carbon emissions and increase the fuel efficiency of the car through eco-driving. Has worked with 15 companies and claims to have already tracked over a million kilometers and neutralized 160 tonnes of carbon dioxide emissions. Also, provides options to support carbon offset programs which is basically a way to financially back a project which uses as much carbon a vehicle inevitably produces, hence deeming carbon neutrality alongside fleet management, and training in eco-driving.",Provider of connected driving solutions for increased fuel efficiency,wenow.com,"Technology
 Internet of Things - Industry Applications
 Auto Tech
 Consumer
 Travel and Hospitality Tech
 Auto Tech
 Transportation and Logistics Tech
 Consumer
 Transportation and Logistics Tech
 Environment Tech
 Sustainability Tech","Security & Surveillance Technology
 Connected Vehicles
 Road Transport Tech
 Logistics Tech
 Air Pollution Management Tech",Security & Surveillance Technology,49.05,(5) Micro@Scale,,,,EV Management Solutions,2014,,France,Yes,Seed,"$1,445,050",Emerging,1/13/2020,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,,,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Youple,Startup,Online platform for residential mortgage loans. It offers loans that enable users to purchase residential real estate properties. It specializes in providing housing finance for young individuals. The loan is approved based on the property location.,Online platform for residential mortgage loans,youple.se,FinTech,Alternative Lending,Alternative Lending,35.22,Other,,,,,2015,,Sweden,Yes,Series A,"3,299,400",Emerging,"Nov 26, 2021",1,0.3,,,0.2,0.7,,,0.44,Emerging,Henri,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Green Eagle Solutions,Startup,"Provider of software solutions for solar and wind energy projects. The company offers a SCADA-based monitoring solution with the name CompactSCADA which monitors, controls, and offers energy management solutions. Also, it offers weather and Mateo forecasting solution and generates reports, interactive chart analysis.",Provider of software solutions for solar and wind energy projects,greeneaglesolutions.com,"Energy Tech
 Environment Tech
 Sustainability Tech
 Technology
 Internet of Things - Industry Applications","Renewable Energy Tech
 IoT Applications",Renewable Energy Tech,40.03,(5) Micro@Scale,,Scale Local,Optimising & Managing Local Energy,Energy Infrastructure Management,2012,,Spain,Yes,Series A,"3,050,350",Emerging,"May 19, 2021",1,0.3,,0,0.2,0.7,,0,0.44,Emerging,Henri,,Yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Blue Power Synergy,Startup,,Developer of affordable and small-scale renewable energy projects,blue-power-synergy.com,"Energy
 Environment
 Energy
 Environment","Solar Energy
 Wind Energy",Solar Energy,10.95,(5) Micro@Scale,,,,,2016,,Belgium,Yes,Funding Raised,,Mature,,0.7,0.3,,0,0.7,0.7,,0,0.7,Mature,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Alperia,Startup,"Alperia is a renewable energy producer with expertise in operations of Hydroelectric projects. The company manages 41 large and small hydroelectric power stations in South Tyrol, producing an average of 4,500 GWh of clean energy every year annually. They also provide solutions of District Heating and EV charging stations, managing 35 charging points throughout South Tyrol.",Hydroelectric project operator,alperia.eu,,Other,Other,32.37,Other,,,,,2015,,Italy,Yes,Undisclosed,,Nascent,12/1/2017,1,0.3,,0,0,0.7,,0,0.3,Nascent,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Sobolt,Startup,"AI and cloud-based platform offering asset management solutions for solar energy generation. The solution allows users to assess and track solar power, store data on the cloud, host models, automate applications, and more. Additionally, it provides solutions for the space industry, infrastructure industry, and more.",AI and cloud-based platform offering asset management solutions for solar energy generation,sobolt.com,"Energy Tech
 Environment Tech
 Sustainability Tech
 Real Estate and Construction Tech","Renewable Energy Tech
 Construction Tech",Renewable Energy Tech,31.77,Other,(4) End Consumer,,,,2016,,Netherlands,Yes,Undisclosed,,Nascent,,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,Columbus Energy,Startup,"Columbus Energy is a rooftop solar project developer that operates in a subscription model. Once the user signs up for the subscription, the company installs the rooftop solar system in a day's time. Post this the user can utilise the power generated from the panels and even monitor the same using an energy management system.",Residential solar power solution provider,columbusenergy.pl,"Energy
 Environment",Solar Energy,Solar Energy,29.42,(4) End Consumer,,,,,2016,,Poland,Yes,Undisclosed,,Nascent,,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
